6 Peterhead South and Cruden
3 4 62 3395
George HALL, Con
Neil JOHNSTONE, Con
Colin Alexander SIMPSON, SLD
Stephen William SMITH, SNP
465 0 0 2 1
11 0 2 3 1
6 0 1 2 3
9 0 2 1 3
5 1 0 2 3
80 0 0 1 2
31 1 2 4 3
10 1 3 2 4
71 1 0 0 0
10 0 2 1 0
4 3 1 2 4
15 2 4 3 1
7 2 1 4 3
1 0 1 0 2
176 1 2 3 4
43 0 3 2 1
3 2 4 1 3
49 2 1 3 4
8 0 3 1 2
30 0 1 0 0
21 3 2 4 1
5 1 3 4 2
3 3 1 4 2
12 4 2 3 1
433 1 2 0 0
100 3 4 2 1
13 0 2 0 1
30 2 3 0 1
60 2 3 4 1
10 1 0 0 2
596 0 0 0 1
4 4 2 1 3
7 0 1 2 0
25 2 0 0 1
3 0 1 3 2
23 3 4 1 2
1 4 1 3 2
49 3 0 2 1
8 3 1 2 0
5 2 0 1 3
293 1 2 3 0
8 3 0 1 2
23 2 3 1 4
15 4 3 1 2
18 3 2 1 4
110 4 3 2 1
150 0 0 1 0
32 2 3 1 0
17 2 0 3 1
11 3 2 0 1
7 2 0 1 0
4 2 1 0 3
6 1 0 3 2
3 4 1 2 3
11 1 3 0 2
19 3 2 1 0
6 1 4 3 2
58 2 1 3 0
17 1 3 2 0
114 2 1 0 0
18 1 2 0 3
13 1 0 2 0
