2 Mid Galloway and Wigtown West
4 5 231 4962
Kenny CAMPBELL, Grn
Katie HAGMANN, SNP
David INGLIS, Con
Jackie MCCAMON, Con
Sandy WHITELAW, Lab
2 2 0 1 0 3
425 0 0 2 1 0
2 3 2 5 1 4
4 0 2 3 1 0
4 5 1 2 4 3
15 0 1 2 3 0
1 2 4 3 1 5
2 1 2 0 3 4
37 1 3 0 0 2
19 0 0 2 3 1
1 2 0 4 1 3
61 2 1 4 5 3
13 0 2 1 3 0
3 1 2 3 4 5
2 5 4 3 1 2
12 3 0 1 2 4
23 0 0 1 3 2
11 1 2 5 4 3
4 1 0 2 3 0
1 3 4 1 0 2
3 4 2 3 1 5
11 3 4 1 2 5
4 1 3 4 5 2
2 1 0 3 0 2
4 5 3 1 4 2
806 0 0 1 2 0
27 0 2 0 0 1
1 3 5 1 4 2
1 2 4 1 3 5
1 1 2 4 3 0
9 4 0 2 1 3
1 2 5 1 4 3
1 4 0 3 1 2
2 1 2 0 4 3
1 3 2 0 4 1
3 4 1 5 3 2
2 1 3 2 4 0
65 1 0 0 0 0
7 0 2 1 0 0
1 1 4 2 3 5
9 2 3 4 5 1
1 2 4 3 1 0
2 1 5 3 2 4
2 2 1 4 3 0
15 0 1 0 2 0
1 3 2 4 0 1
2 1 2 3 4 0
20 0 3 2 1 0
6 0 3 2 0 1
4 4 3 2 1 5
16 0 0 3 1 2
1 2 4 5 3 1
2 5 1 4 2 3
3 1 3 5 4 2
18 0 0 0 2 1
14 3 5 2 1 4
3 3 2 4 1 5
1 2 4 1 3 0
1 3 5 4 2 1
2 3 1 4 0 2
1 2 1 3 4 0
18 0 0 0 1 2
5 2 3 5 4 1
30 1 0 0 0 2
10 0 3 1 2 0
19 5 4 2 1 3
336 0 1 0 0 0
3 3 0 1 0 2
3 5 4 1 3 2
140 0 0 2 1 3
180 0 0 0 0 1
1 4 2 1 3 5
1 4 1 2 0 3
1 4 3 2 0 1
2 2 3 4 0 1
2 0 1 0 3 2
5 3 1 2 5 4
1 4 1 5 2 3
11 1 2 4 5 3
9 2 1 3 4 5
6 0 1 2 0 3
1 3 1 4 2 0
4 5 1 4 3 2
3 0 1 3 0 2
1 3 1 4 2 5
1 0 4 2 1 3
1 4 2 3 1 0
53 1 2 0 0 0
3 3 4 5 1 2
1 3 0 2 4 1
15 0 2 0 1 0
2 3 4 2 1 0
1 4 3 2 5 1
2 0 3 0 1 2
4 1 5 4 3 2
1 0 4 2 3 1
9 2 1 0 4 3
1 2 3 0 1 0
3 1 0 4 3 2
41 4 5 2 1 3
3 2 1 0 3 4
3 1 4 2 3 0
5 1 0 0 2 0
7 2 5 4 3 1
2 0 2 1 0 3
1 5 2 3 1 4
2 0 2 0 3 1
6 4 3 1 2 5
7 2 5 3 4 1
2 1 2 5 3 4
115 0 0 0 1 0
8 3 4 2 1 5
5 3 2 5 4 1
9 3 0 2 1 4
25 5 4 1 2 3
14 0 1 2 0 0
1 4 2 1 3 0
7 4 1 2 3 5
2 1 2 4 3 5
61 0 1 0 0 2
5 2 0 0 1 0
5 5 2 3 4 1
5 2 1 3 5 4
31 0 0 3 2 1
12 0 1 3 2 0
2 1 0 0 3 2
45 3 2 0 0 1
1 3 4 1 2 0
1 4 0 2 3 1
2 4 2 3 5 1
15 0 0 2 0 1
3 3 0 0 2 1
4 5 4 3 2 1
6 1 0 2 0 3
10 2 1 4 3 5
311 2 1 0 0 3
20 4 0 1 2 3
37 3 0 2 1 0
1 1 3 4 2 5
10 0 0 1 0 2
9 3 1 2 0 0
9 4 5 3 2 1
3 4 1 3 2 5
1 4 2 1 5 3
6 2 0 1 3 0
8 1 2 3 0 0
6 2 0 3 0 1
1 3 0 0 1 2
63 3 0 1 2 0
1 4 3 1 5 2
31 2 3 0 0 1
1 0 1 4 2 3
2 4 5 1 3 2
63 2 1 5 4 3
2 2 3 4 1 5
5 1 5 3 4 2
12 3 2 4 5 1
2 4 3 1 2 0
3 0 1 4 3 2
68 2 0 0 0 1
27 3 1 4 5 2
1 2 5 1 3 4
1 4 3 2 1 0
1 3 1 2 0 4
113 0 0 1 0 0
3 5 2 1 4 3
2 4 0 3 2 1
1 0 3 2 1 4
9 5 1 2 3 4
1 2 0 1 3 4
2 5 1 3 2 4
4 2 1 5 3 4
1 4 0 1 3 2
3 0 4 1 2 3
1 2 5 4 1 3
