5 Wester Ross Strathpeffer and Lochalsh
4 5 210 5411
Chris BIRT, SNP
Biz CAMPBELL, Ind
Margot KERR, SLD
Liz KRAFT, SNP
Patrick LOGUE, Con
9 2 3 5 1 4
9 0 2 3 1 0
2 0 0 2 1 0
1 3 2 5 1 4
5 1 2 3 5 4
28 5 1 2 4 3
1 0 3 1 4 2
98 2 4 3 1 5
28 0 1 2 3 0
10 5 3 2 4 1
2 0 0 2 3 1
1 2 0 4 1 3
1 2 4 5 1 3
1 4 3 1 0 2
17 0 2 1 3 0
4 1 2 3 4 5
3 2 0 3 1 4
3 0 0 1 3 2
6 1 0 2 3 0
6 4 2 3 1 5
16 3 4 1 2 5
1 1 3 4 5 2
3 3 1 0 2 4
4 5 3 1 4 2
149 0 2 0 0 1
4 3 5 1 4 2
6 0 0 1 2 0
3 2 4 1 3 5
7 1 2 4 3 0
5 2 5 3 1 4
1 3 2 0 4 1
2 4 1 5 3 2
6 1 3 2 4 0
29 1 0 0 0 0
139 0 2 1 0 0
7 1 4 2 3 5
19 3 1 2 4 0
53 2 4 3 1 0
1 2 3 4 5 1
22 2 1 4 3 0
6 1 5 3 2 4
30 0 1 0 2 0
5 1 2 3 4 0
179 0 3 2 0 1
2 0 3 2 1 0
3 3 4 1 5 2
2 4 3 2 1 5
1 5 1 4 2 3
14 3 2 4 1 5
8 2 4 1 3 0
3 3 5 4 2 1
11 2 1 3 4 0
2 3 1 4 0 2
2 1 0 0 0 2
3 0 3 1 2 0
267 0 1 0 0 0
1 5 4 1 3 2
1 0 0 2 1 3
240 0 0 0 0 1
15 4 2 1 3 5
1 4 3 2 0 1
3 4 1 2 0 3
2 0 1 0 3 2
17 3 2 4 1 0
3 3 1 2 5 4
61 1 3 4 2 0
1 4 1 5 2 3
14 2 1 3 4 5
39 3 1 4 2 0
150 0 1 2 0 3
1 5 1 4 3 2
151 0 1 3 0 2
5 2 0 0 1 3
35 3 1 4 2 5
2 4 2 3 1 0
12 1 2 0 0 0
1 3 0 2 4 1
1 4 1 3 0 2
13 0 2 0 1 0
7 3 4 2 1 0
18 4 3 2 5 1
3 0 3 0 2 1
1 0 4 2 3 1
173 2 3 0 1 0
102 2 3 4 1 0
3 2 1 0 3 4
5 1 4 2 3 0
300 1 0 0 2 0
2 3 0 1 4 2
88 0 2 1 0 3
3 4 3 1 2 5
4 1 2 5 3 4
35 0 0 0 1 0
9 3 4 2 1 5
2 3 0 2 1 4
1 3 2 5 4 1
1 5 4 1 2 3
245 0 1 2 0 0
7 4 2 1 3 0
1 0 3 2 4 1
25 4 1 2 3 5
12 1 2 4 3 5
104 0 1 0 0 2
363 2 0 0 1 0
14 5 2 3 4 1
7 0 1 3 2 0
1 1 0 3 2 4
3 1 0 0 3 2
1 1 4 2 5 3
1 3 2 0 0 1
7 3 4 1 2 0
1 4 2 1 0 3
17 4 2 3 5 1
103 0 0 2 0 1
1 5 4 3 2 1
7 4 1 3 2 0
41 2 1 4 3 5
1 1 0 2 0 3
128 1 3 4 2 5
16 3 0 2 1 0
1 0 1 3 4 2
1 2 1 0 0 3
37 0 0 1 0 2
12 3 1 2 0 0
10 4 1 3 2 5
10 4 2 1 5 3
11 2 0 1 3 0
1 4 2 5 3 1
3 1 2 3 0 0
3 3 0 0 1 2
16 3 0 1 2 0
7 4 3 1 5 2
1 1 4 0 2 3
84 0 3 1 0 2
1 1 0 4 2 3
2 4 5 1 3 2
6 1 3 5 2 4
151 2 3 4 1 5
1 2 3 1 4 0
3 4 3 1 2 0
2 3 2 4 5 1
12 3 2 1 4 0
1 0 1 4 3 2
2 3 4 5 2 1
46 1 4 3 2 5
5 2 0 0 0 1
1 5 2 4 3 1
1 4 3 2 1 0
2 3 1 2 0 4
112 0 0 1 0 0
18 5 2 1 4 3
2 2 0 1 3 4
1 5 1 2 3 4
1 5 1 3 2 4
5 2 3 1 0 0
2 2 5 4 1 3
1 4 0 1 3 2
1 2 1 5 3 4
3 3 1 0 4 2
164 0 2 3 0 1
101 2 0 3 1 0
22 3 1 2 4 5
2 4 2 0 3 1
21 3 2 0 1 0
1 0 2 1 4 3
2 1 4 5 2 3
3 4 5 1 2 3
4 1 5 2 3 4
3 1 0 0 2 3
13 2 0 1 0 0
75 2 1 0 3 0
2 5 4 2 3 1
76 1 0 3 2 0
4 1 5 4 2 3
1 4 5 3 1 2
1 0 1 2 4 3
1 0 2 3 4 1
25 4 1 2 3 0
13 4 1 2 5 3
147 1 3 0 2 0
5 4 5 2 3 1
1 1 2 0 0 3
10 3 2 1 0 0
6 0 1 0 2 3
1 2 3 1 4 5
1 2 0 1 4 3
1 4 2 3 0 1
2 0 0 1 2 3
43 1 4 3 2 0
1 1 3 0 2 4
1 3 1 5 2 4
10 2 1 3 0 0
5 1 3 2 0 0
30 2 1 0 0 0
7 4 1 3 5 2
1 3 5 1 2 4
1 4 3 5 2 1
1 2 0 0 3 1
2 5 3 2 1 4
2 1 3 2 5 4
60 3 1 0 2 0
1 3 0 2 0 1
1 3 5 4 1 2
34 1 2 0 3 0
3 3 1 0 0 2
3 1 0 2 0 0
2 0 1 2 3 4
1 3 5 2 4 1
19 5 1 3 4 2
14 3 2 1 4 5
