3 Paisley Northeast and Ralston
3 4 63 4581
Jennifer Marion ADAM-MCGREGOR, SNP
Graeme CLARK, Lab
Neill GRAHAM, Con
Alan MCINNES, SLD
22 0 2 3 1
20 0 0 2 1
153 0 1 2 3
233 0 2 1 3
13 1 0 2 3
65 0 0 1 2
259 1 2 4 3
13 1 3 2 4
585 1 0 0 0
88 0 2 1 0
7 3 1 2 4
87 2 1 4 3
194 0 1 0 2
25 1 2 3 4
24 0 3 2 1
1 2 4 1 3
18 2 1 3 4
133 0 3 1 2
400 0 1 0 0
15 3 2 4 1
138 1 3 4 2
78 3 1 4 2
19 4 2 3 1
230 1 2 0 0
26 0 2 0 1
6 3 4 2 1
24 2 3 0 1
12 2 3 4 1
9 1 4 2 3
84 1 0 0 2
53 0 0 0 1
70 4 2 1 3
51 0 1 2 0
6 2 0 0 1
108 0 1 3 2
3 3 4 1 2
77 4 1 3 2
5 3 0 2 1
8 3 1 2 0
6 2 0 1 3
21 1 2 3 0
6 3 0 1 2
5 2 3 1 4
53 4 3 1 2
10 3 2 1 4
19 4 3 2 1
219 0 0 1 0
4 2 3 1 0
2 2 0 3 1
20 3 2 0 1
6 2 0 1 0
103 2 1 0 3
7 1 0 3 2
92 4 1 2 3
136 1 3 0 2
7 3 2 1 0
18 1 4 3 2
12 2 1 3 0
5 1 3 2 0
90 2 1 0 0
78 3 1 0 2
294 1 2 0 3
6 1 0 2 0
