id,name,party_name,council_id,council_name,election,cand_ward_id,map_ward_id,ward_name,contested,elected,status,occurred_on_count,first_prefs,transfers02,total_votes02,transfers03,total_votes03,transfers04,total_votes04,transfers05,total_votes05,transfers06,total_votes06,transfers07,total_votes07,transfers08,total_votes08,transfers09,total_votes09,transfers10,total_votes10,transfers11,total_votes11,transfers12,total_votes12,transfers13,total_votes13,electorate,total_poll,valid_poll,rejected,quota,seats,candidates
1538,"Barney Crockett","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002835,S13002835,Dyce/Bucksburn/Danestone,1,1,Elected,7,1174,10.77224,1184.77224,2.9946,1187.76684,6.11138,1193.87822,13.34754,1207.22576,103.93135,1311.15711,97.18897,1408.35,,,,,,,,,,,,,16446,6766,6598,168,1320,4,8
8256,"Gill Al-Samarai","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002835,S13002835,Dyce/Bucksburn/Danestone,1,1,Elected,1,1538,-218,1320,0,1320,0,1320,0,1320,0,1320,0,1320,,,,,,,,,,,,,16446,6766,6598,168,1320,4,8
19870,"Avril MacKenzie","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002835,S13002835,Dyce/Bucksburn/Danestone,1,1,Elected,1,1387,0,1387,-67,1320,0,1320,0,1320,0,1320,0,1320,,,,,,,,,,,,,16446,6766,6598,168,1320,4,8
20504,"William Patrick Ball","Scottish Green Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002835,S13002835,Dyce/Bucksburn/Danestone,1,0,Excluded,5,296,16.44184,312.44184,0.4347,312.87654,14.68659,327.56313,17.61926,345.18239,-345.18239,0,0,0,,,,,,,,,,,,,16446,6766,6598,168,1320,4,8
20980,"Neil MacGregor","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002835,S13002835,Dyce/Bucksburn/Danestone,1,1,Elected,2,1188,174.62368,1362.62,0,1362.62368,-42.62368,1320,0,1320,0,1320,0,1320,,,,,,,,,,,,,16446,6766,6598,168,1320,4,8
85451,"Peter John Heald","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002835,S13002835,Dyce/Bucksburn/Danestone,1,0,"Not elected",,579,5.38612,584.38612,3.4293,587.81542,4.43328,592.2487,16.32362,608.57232,109.015,717.58732,132.37901,849.96633,,,,,,,,,,,,,16446,6766,6598,168,1320,4,8
85452,"Braiden Smith","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002835,S13002835,Dyce/Bucksburn/Danestone,1,0,Excluded,6,341,0.85044,341.85044,56.0763,397.92674,0.81717,398.74391,20.27348,419.01739,14.47129,433.48868,-433.48868,0,,,,,,,,,,,,,16446,6766,6598,168,1320,4,8
85453,"Amy-Marie Stratton","Scottish Family Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002835,S13002835,Dyce/Bucksburn/Danestone,1,0,Excluded,4,95,0.99218,95.99218,0.3381,96.33028,2.05319,98.38347,-98.38347,0,0,0,0,0,,,,,,,,,,,,,16446,6766,6598,168,1320,4,8
7649,"Christian Allard","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002846,S13002846,Torry/Ferryhill,1,1,Elected,1,1646,-646,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,,,,,,,15012,5120,4997,123,1000,4,10
20984,"Simon McLean",Independent,aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002846,S13002846,Torry/Ferryhill,1,0,Excluded,5,238,9.41904,247.41904,5,252.41904,53.17738,305.59642,26.17738,331.7738,-331.7738,0,0,0,0,0,0,0,0,0,,,,,,,15012,5120,4997,123,1000,4,10
21227,"Gregor McAbery","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002846,S13002846,Torry/Ferryhill,1,0,Excluded,7,318,9.41904,327.41904,2,329.41904,6.78492,336.20396,3.39246,339.59642,32.78492,372.38134,6.69982,379.08116,-379.08116,0,0,0,0,0,,,,,,,15012,5120,4997,123,1000,4,10
21661,"Michael Kusznir","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002846,S13002846,Torry/Ferryhill,1,1,Elected,6,970,5.8869,975.8869,7,982.8869,6,988.8869,7.78492,996.67182,27,1023.67,-23.67182,1000,0,1000,0,1000,0,1000,,,,,,,15012,5120,4997,123,1000,4,10
85479,"Brian Allan","Alba Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002846,S13002846,Torry/Ferryhill,1,0,Excluded,4,123,19.23054,142.23054,4,146.23054,2.39246,148.623,-148.623,0,0,0,0,0,0,0,0,0,0,0,,,,,,,15012,5120,4997,123,1000,4,10
85480,"Paul Dawson",Independent,aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002846,S13002846,Torry/Ferryhill,1,0,Excluded,3,77,8.24166,85.24166,2,87.24166,-87.24166,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,15012,5120,4997,123,1000,4,10
85481,"Lee Fairfull","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002846,S13002846,Torry/Ferryhill,1,1,Elected,10,344,480.37104,824.37104,1,825.37104,8.53214,833.90318,57.7738,891.67698,36.9623,928.63928,0.51273,929.15201,21.00854,950.16055,19.56693,969.72748,303.77255,1273.50,,,,,,,15012,5120,4997,123,1000,4,10
85482,"Esme Houston","Scottish Green Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002846,S13002846,Torry/Ferryhill,1,0,Excluded,9,390,43.1706,433.1706,0,433.1706,5.39246,438.56306,19.9623,458.52536,55.35476,513.88012,0.77612,514.65624,51.8704,566.52664,33.11576,599.6424,-599.6424,0,,,,,,,15012,5120,4997,123,1000,4,10
85483,"Oren Katz","Scottish Libertarian Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002846,S13002846,Torry/Ferryhill,1,0,Excluded,2,27,0.39246,27.39246,-27.39246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,15012,5120,4997,123,1000,4,10
85484,"Simon Peter Watson","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002846,S13002846,Torry/Ferryhill,1,1,Elected,8,864,30.21942,894.21942,3.39246,897.61188,2.39246,900.00434,4.78492,904.78926,61.56984,966.3591,6.46773,972.82683,165.65276,1138.48,-138.47959,1000,0,1000,,,,,,,15012,5120,4997,123,1000,4,10
8215,"Ken McLeod","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002844,S13002844,"Hazlehead/Queens Cross/Countesswells",1,1,Elected,7,1021,95.42848,1116.42848,18.29898,1134.72746,5.02837,1139.75583,2.48424,1142.24007,119.99382,1262.23389,976.08068,2238.31,,,,,,,,,,,,,15281,7808,7736,72,1548,4,7
20905,"John Cooke","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002844,S13002844,"Hazlehead/Queens Cross/Countesswells",1,1,Elected,4,1426,50.90939,1476.90939,10.12284,1487.03223,163.56554,1650.60,-102.59777,1548,0,1548,0,1548,,,,,,,,,,,,,15281,7808,7736,72,1548,4,7
21079,"Martin Greig","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002844,S13002844,"Hazlehead/Queens Cross/Countesswells",1,1,Elected,1,1967,-419,1548,0,1548,0,1548,0,1548,0,1548,0,1548,,,,,,,,,,,,,15281,7808,7736,72,1548,4,7
21083,"Jennifer Stewart",Independent,aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002844,S13002844,"Hazlehead/Queens Cross/Countesswells",1,1,Elected,1,1618,0,1618,-70,1548,0,1548,0,1548,0,1548,0,1548,,,,,,,,,,,,,15281,7808,7736,72,1548,4,7
84864,"Lars Frevert","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002844,S13002844,"Hazlehead/Queens Cross/Countesswells",1,0,Excluded,6,941,62.19892,1003.19892,8.60874,1011.80766,5.51254,1017.3202,3.08293,1020.40313,102.72367,1123.1268,-1123.1268,0,,,,,,,,,,,,,15281,7808,7736,72,1548,4,7
85473,"Mohamed Abdul Mosobbir","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002844,S13002844,"Hazlehead/Queens Cross/Countesswells",1,0,Excluded,5,486,66.0331,552.0331,9.04134,561.07444,100.76101,661.83545,41.23786,703.07331,-703.07331,0,0,0,,,,,,,,,,,,,15281,7808,7736,72,1548,4,7
85474,"Becky Rafferty","Scottish Green Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002844,S13002844,"Hazlehead/Queens Cross/Countesswells",1,0,Excluded,3,277,42.17598,319.17598,5.4075,324.58348,-324.58348,0,0,0,0,0,0,0,,,,,,,,,,,,,15281,7808,7736,72,1548,4,7
19868,"Tauqeer Malik","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002843,S13002843,"Lower Deeside",1,1,Elected,3,1640,58,1698,106,1804.00,-82,1722,0,1722,,,,,,,,,,,,,,,,,12555,6970,6886,84,1722,3,7
21099,"Marie Boulton",Independent,aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002843,S13002843,"Lower Deeside",1,1,Elected,5,1496,28,1524,98,1622,29.40615,1651.40615,82.22725,1733.63,,,,,,,,,,,,,,,,,12555,6970,6886,84,1722,3,7
72896,"Daniel Verhamme","Scottish Green Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002843,S13002843,"Lower Deeside",1,0,Excluded,1,307,-307,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,12555,6970,6886,84,1722,3,7
74616,"Gillian Tebberen","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002843,S13002843,"Lower Deeside",1,0,Excluded,4,882,8,890,20,910,3.0906,913.0906,-913.0906,0,,,,,,,,,,,,,,,,,12555,6970,6886,84,1722,3,7
84865,"Duncan Massey","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002843,S13002843,"Lower Deeside",1,1,Elected,5,1194,3,1197,35,1232,10.31715,1242.31715,767.1817,2009.50,,,,,,,,,,,,,,,,,12555,6970,6886,84,1722,3,7
85470,"Sue Mulkerrin","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002843,S13002843,"Lower Deeside",1,0,Excluded,2,316,47,363,-363,0,0,0,0,0,,,,,,,,,,,,,,,,,12555,6970,6886,84,1722,3,7
85471,"Ewan Anderson Ritchie","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002843,S13002843,"Lower Deeside",1,0,"Not elected",,1051,141,1192,42,1234,13.4532,1247.4532,5.1818,1252.635,,,,,,,,,,,,,,,,,12555,6970,6886,84,1722,3,7
19873,"Freddie John","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002839,S13002839,Hilton/Woodside/Stockethill,1,0,Excluded,6,711,1.98495,712.98495,18,730.98495,1.41239,732.39734,16.28853,748.68587,99.14326,847.82913,-847.82913,0,,,,,,,,,,,,,11018,4291,4154,137,1039,3,7
20497,"Peter Kennedy","Scottish Green Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002839,S13002839,Hilton/Woodside/Stockethill,1,0,Excluded,4,209,11.9097,220.9097,19.22055,240.13025,1.37317,241.50342,-241.50342,0,0,0,0,0,,,,,,,,,,,,,11018,4291,4154,137,1039,3,7
21087,"Neil Cameron Copland","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002839,S13002839,Hilton/Woodside/Stockethill,1,1,Elected,7,511,251.64755,762.64755,16.22055,778.8681,2.09281,780.96091,94.74161,875.70252,67.34038,943.0429,137.70573,1080.74863,,,,,,,,,,,,,11018,4291,4154,137,1039,3,7
21091,"Sam Petchey","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002839,S13002839,Hilton/Woodside/Stockethill,1,0,Excluded,5,261,2.42605,263.42605,14,277.42605,3.09172,280.51777,65.72483,346.2426,-346.2426,0,0,0,,,,,,,,,,,,,11018,4291,4154,137,1039,3,7
85462,"Hazel Cameron","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002839,S13002839,Hilton/Woodside/Stockethill,1,1,Elected,1,1333,-294,1039,0,1039,0,1039,0,1039,0,1039,0,1039,,,,,,,,,,,,,11018,4291,4154,137,1039,3,7
85463,"Jakub Tomasz Kurpanik","Scottish Family Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002839,S13002839,Hilton/Woodside/Stockethill,1,0,Excluded,2,107,1.3233,108.3233,-108.3233,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,11018,4291,4154,137,1039,3,7
85464,"Deena Tissera","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002839,S13002839,Hilton/Woodside/Stockethill,1,1,Elected,3,1022,11.4686,1033.4686,17.4411,1050.91,-11.9097,1039,0,1039,0,1039,0,1039,,,,,,,,,,,,,11018,4291,4154,137,1039,3,7
20499,"Alex Jarvis","Scottish Green Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002841,S13002841,Midstocket/Rosemount,1,0,Excluded,4,435,7.55895,442.55895,71.50393,514.06288,3.36145,517.42433,-517.42433,0,,,,,,,,,,,,,,,,,10979,4774,4689,85,1173,3,6
21105,"Bill Cormie","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002841,S13002841,Midstocket/Rosemount,1,1,Elected,1,1264,-91,1173,0,1173,0,1173,0,1173,,,,,,,,,,,,,,,,,10979,4774,4689,85,1173,3,6
21110,"William Sell","Liberal Democrats",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002841,S13002841,Midstocket/Rosemount,1,0,Excluded,2,326,2.23169,328.23169,-328.23169,0,0,0,0,0,,,,,,,,,,,,,,,,,10979,4774,4689,85,1173,3,6
21232,"Emma Farquhar","Conservative and Unionist Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002841,S13002841,Midstocket/Rosemount,1,1,Elected,3,1150,3.09557,1153.09557,68,1221.10,-48.09557,1173,0,1173,,,,,,,,,,,,,,,,,10979,4774,4689,85,1173,3,6
85454,"Jennifer Bonsell","Labour Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002841,S13002841,Midstocket/Rosemount,1,1,Elected,5,1007,7.48696,1014.48696,121.64791,1136.13487,23.8532,1159.98807,174.80062,1334.79,,,,,,,,,,,,,,,,,10979,4774,4689,85,1173,3,6
85455,"William MacKenzie","Scottish National Party (SNP)",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002841,S13002841,Midstocket/Rosemount,1,0,"Not elected",,507,64.14309,571.14309,14.43194,585.57503,1.61199,587.18702,228.12483,815.31185,,,,,,,,,,,,,,,,,10979,4774,4689,85,1173,3,6
20500,"Guy Ingerson","Scottish Green Party",aberdeen-city,"Aberdeen City",local.aberdeen-city.2022-05-05,gss-S13002842,S13002842,"George St/Harbour",1,0,Excluded,6,474,4.08893,478.08893,28.79216,506.88109,0.90955,507.79064,13.80153,521.59217,26.7556,548.34777,-548.34777,0,,,,,,,,,,,,,12378,3505,3427,78,686,4,7
