ballot_ID,Precinct,Ward,WardPrecinct,invalid,rank1,rank10,rank11,rank12,rank13,rank14,rank15,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9
"000201-00-00040000023812, 1",1,2,2-1,False,Dennis Carlone,Jivan Sobrinho-Wheeler,Jeffery McNary,Adriane Musgrave,Risa Mednick,Craig Kelley,Ben Simon,Sumbul Siddiqui,Denise Simmons,Marc McGovern,Charles Franklin,Alanna Mallon,Quinton Zondervan,Burhan Azeem,Nicola Williams
"000201-00-00040000032825, 1",1,2,2-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Alanna Mallon,Risa Mednick,Denise Simmons,,,,
"000201-00-00040000139767, 1",1,2,2-1,False,Dennis Carlone,Timothy Toomey,,,,,,Jivan Sobrinho-Wheeler,Nicola Williams,Marc McGovern,Craig Kelley,Sumbul Siddiqui,Denise Simmons,Quinton Zondervan,John Pitkin
"000201-00-00040000170350, 1",1,2,2-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Charles Franklin,John Pitkin,Ben Simon,Nicola Williams,,,
"000201-00-00040000232295, 1",1,2,2-1,False,Dennis Carlone,,,,,,,Craig Kelley,Sumbul Siddiqui,Timothy Toomey,Quinton Zondervan,Ben Simon,Jivan Sobrinho-Wheeler,Nicola Williams,Charles Franklin
"000201-00-00040000356089, 1",1,2,2-1,False,Dennis Carlone,Patricia Nolan,Nicola Williams,,,,,Alanna Mallon,Marc McGovern,Quinton Zondervan,Burhan Azeem,Charles Franklin,Derek Kopon,Risa Mednick,Adriane Musgrave
"000201-00-00040000400446, 1",1,2,2-1,False,Dennis Carlone,,,,,,,Denise Simmons,Ben Simon,Timothy Toomey,Quinton Zondervan,Sumbul Siddiqui,Burhan Azeem,Sukia Akiba,
"000201-00-00040000440063, 1",1,2,2-1,False,Dennis Carlone,,,,,,,Charles Franklin,Risa Mednick,Patricia Nolan,Jivan Sobrinho-Wheeler,Nicola Williams,Quinton Zondervan,,
"000201-00-00040000585342, 1",1,2,2-1,False,Dennis Carlone,,,,,,,Jeffery McNary,Nicola Williams,,,,,,
"000201-00-00040000616943, 1",1,2,2-1,False,Dennis Carlone,,,,,,,Craig Kelley,Ilan Levy,Jeffery McNary,Patricia Nolan,John Pitkin,Nicola Williams,,
"000201-00-00040000622300, 1",1,2,2-1,False,Dennis Carlone,,,,,,,Sumbul Siddiqui,Patricia Nolan,Denise Simmons,Craig Kelley,Charles Franklin,Quinton Zondervan,Nicola Williams,
"000201-00-00040000772766, 1",1,2,2-1,False,Dennis Carlone,,,,,,,Marc McGovern,Sumbul Siddiqui,Denise Simmons,Alanna Mallon,Gregg Moree,Timothy Toomey,,
"000201-00-00040000886340, 1",1,2,2-1,False,Dennis Carlone,,,,,,,Nicola Williams,Jivan Sobrinho-Wheeler,Quinton Zondervan,Charles Franklin,Risa Mednick,,,
"000201-00-00040000891546, 1",1,2,2-1,False,Dennis Carlone,,,,,,,Marc McGovern,Sumbul Siddiqui,,,,,,
"000201-00-00040000965437, 1",1,2,2-1,False,Dennis Carlone,,,,,,,,,,,,,,
"000602-00-00180000079728, 1",2,6,6-2,False,Dennis Carlone,,,,,,,Craig Kelley,Derek Kopon,Quinton Zondervan,,,,,
"000602-00-00180000106424, 1",2,6,6-2,False,Dennis Carlone,,,,,,,Charles Franklin,Patricia Nolan,Ben Simon,Jivan Sobrinho-Wheeler,Nicola Williams,Quinton Zondervan,,
"000602-00-00180000187725, 1",2,6,6-2,False,Dennis Carlone,Quinton Zondervan,Alanna Mallon,Adriane Musgrave,John Pitkin,Craig Kelley,Ilan Levy,Jivan Sobrinho-Wheeler,Charles Franklin,Sumbul Siddiqui,Nicola Williams,Patricia Nolan,Derek Kopon,Risa Mednick,Ben Simon
"000602-00-00180000286415, 1",2,6,6-2,False,Dennis Carlone,,,,,,,Derek Kopon,Patricia Nolan,Quinton Zondervan,Nicola Williams,John Pitkin,Denise Simmons,,
"000602-00-00180000332907, 1",2,6,6-2,False,Dennis Carlone,,,,,,,Quinton Zondervan,Patricia Nolan,Nicola Williams,Craig Kelley,John Pitkin,,,
"000602-00-00180000402415, 1",2,6,6-2,False,Dennis Carlone,Risa Mednick,Adriane Musgrave,Burhan Azeem,Jeffery McNary,Sukia Akiba,Craig Kelley,Quinton Zondervan,Patricia Nolan,Jivan Sobrinho-Wheeler,Nicola Williams,Ben Simon,Derek Kopon,John Pitkin,Charles Franklin
"000602-00-00180000498540, 1",2,6,6-2,False,Dennis Carlone,Denise Simmons,Marc McGovern,,,,,Risa Mednick,Patricia Nolan,Nicola Williams,Charles Franklin,Jivan Sobrinho-Wheeler,Quinton Zondervan,Alanna Mallon,Sumbul Siddiqui
"000602-00-00180000517562, 1",2,6,6-2,False,Dennis Carlone,,,,,,,Sumbul Siddiqui,Sukia Akiba,,,,,,
"000602-00-00180000534652, 1",2,6,6-2,False,Dennis Carlone,Ilan Levy,,,,,,Derek Kopon,Craig Kelley,Patricia Nolan,Quinton Zondervan,Nicola Williams,John Pitkin,Ben Simon,Charles Franklin
"000602-00-00180000540697, 1",2,6,6-2,False,Dennis Carlone,,,,,,,Craig Kelley,Derek Kopon,Patricia Nolan,John Pitkin,Ben Simon,Nicola Williams,Quinton Zondervan,
"000602-00-00180000621833, 1",2,6,6-2,False,Dennis Carlone,,,,,,,Marc McGovern,Sumbul Siddiqui,Quinton Zondervan,Adriane Musgrave,Jivan Sobrinho-Wheeler,,,
"000602-00-00180000668438, 1",2,6,6-2,False,Dennis Carlone,,,,,,,Alanna Mallon,Marc McGovern,Sumbul Siddiqui,Quinton Zondervan,Charles Franklin,John Pitkin,,
"000602-00-00180000698465, 1",2,6,6-2,False,Dennis Carlone,Marc McGovern,Risa Mednick,Adriane Musgrave,Denise Simmons,,,Patricia Nolan,Nicola Williams,Craig Kelley,Derek Kopon,John Pitkin,Ben Simon,Quinton Zondervan,Alanna Mallon
"000602-00-00180000760993, 1",2,6,6-2,False,Dennis Carlone,,,,,,,Derek Kopon,Nicola Williams,Patricia Nolan,Ben Simon,Quinton Zondervan,,,
"000602-00-00180000797285, 1",2,6,6-2,False,Dennis Carlone,,,,,,,Craig Kelley,Quinton Zondervan,Nicola Williams,Denise Simmons,Sumbul Siddiqui,Patricia Nolan,Derek Kopon,John Pitkin
"000602-00-00180000825504, 1",2,6,6-2,False,Dennis Carlone,,,,,,,Craig Kelley,Marc McGovern,Alanna Mallon,Timothy Toomey,Quinton Zondervan,Denise Simmons,Sumbul Siddiqui,
"000602-00-00180000837449, 1",2,6,6-2,False,Dennis Carlone,,,,,,,Patricia Nolan,Nicola Williams,Quinton Zondervan,Craig Kelley,Derek Kopon,Ben Simon,John Pitkin,
"000602-00-00180000922078, 1",2,6,6-2,False,Dennis Carlone,Sumbul Siddiqui,Sukia Akiba,Burhan Azeem,,,,Derek Kopon,Nicola Williams,Patricia Nolan,John Pitkin,Denise Simmons,Jivan Sobrinho-Wheeler,Timothy Toomey,Quinton Zondervan
"000602-00-00180000944397, 1",2,6,6-2,False,Dennis Carlone,,,,,,,Patricia Nolan,John Pitkin,Quinton Zondervan,Craig Kelley,Derek Kopon,Ben Simon,Jivan Sobrinho-Wheeler,Nicola Williams
"000602-00-00180000973344, 1",2,6,6-2,False,Dennis Carlone,Sumbul Siddiqui,Denise Simmons,Jivan Sobrinho-Wheeler,Quinton Zondervan,Sukia Akiba,Burhan Azeem,Patricia Nolan,Marc McGovern,Risa Mednick,Nicola Williams,Ben Simon,John Pitkin,Adriane Musgrave,Gregg Moree
"000602-00-00520000568991, 1",2,6,6-2,False,Dennis Carlone,,,,,,,Write-In 1,Quinton Zondervan,Patricia Nolan,Nicola Williams,Craig Kelley,John Pitkin,Ben Simon,
"000901-00-00260000021097, 1",1,9,9-1,False,Dennis Carlone,Jeffery McNary,,,,,,Craig Kelley,Ben Simon,Quinton Zondervan,John Pitkin,Nicola Williams,Derek Kopon,Patricia Nolan,Charles Franklin
"000901-00-00260000054791, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Craig Kelley,Nicola Williams,Quinton Zondervan,John Pitkin,Derek Kopon,Ben Simon,
"000901-00-00260000055242, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Alanna Mallon,Craig Kelley,John Pitkin,Denise Simmons,,,
"000901-00-00260000087646, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Charles Franklin,Patricia Nolan,Quinton Zondervan,Nicola Williams,Jivan Sobrinho-Wheeler,Ben Simon,Ilan Levy,
"000901-00-00260000100757, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Patricia Nolan,Derek Kopon,Quinton Zondervan,Nicola Williams,Ben Simon,John Pitkin,
"000901-00-00260000101420, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Patricia Nolan,Derek Kopon,John Pitkin,Ben Simon,Nicola Williams,Quinton Zondervan,
"000901-00-00260000103840, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Charles Franklin,Risa Mednick,Patricia Nolan,Jivan Sobrinho-Wheeler,Nicola Williams,Quinton Zondervan,,
"000901-00-00260000105461, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Quinton Zondervan,Nicola Williams,Patricia Nolan,Craig Kelley,Derek Kopon,,,
"000901-00-00260000114777, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Derek Kopon,Denise Simmons,Nicola Williams,Patricia Nolan,John Pitkin,Craig Kelley,Ben Simon,Quinton Zondervan
"000901-00-00260000127474, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Craig Kelley,Ben Simon,Quinton Zondervan,John Pitkin,Nicola Williams,Derek Kopon,,
"000901-00-00260000150438, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Jivan Sobrinho-Wheeler,Patricia Nolan,Quinton Zondervan,Craig Kelley,Gregg Moree,Derek Kopon,Nicola Williams,
"000901-00-00260000165587, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Timothy Toomey,,,,,,,
"000901-00-00260000202256, 1",1,9,9-1,False,Dennis Carlone,,,,,,,Patricia Nolan,Alanna Mallon,Craig Kelley,Sumbul Siddiqui,,,,
