pile,ward,precinct,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15
Azeem,7,1,Azeem,McGuirk,Siddiqui,Simmons,Toner,Sobrinho-Wheeler,Mallon,McGovern,Eckstut,Hicks,,,,,
Azeem,7,1,Azeem,Mallon,Hicks,McGovern,McGuirk,Siddiqui,Simmons,Toner,Sobrinho-Wheeler,,,,,,
Azeem,7,1,Azeem,Mallon,Hicks,Siddiqui,McGuirk,McGovern,Toner,Sobrinho-Wheeler,Simmons,,,,,,
Azeem,7,1,Azeem,Sobrinho-Wheeler,Mallon,Siddiqui,McGovern,Hicks,Skeadas,Zondervan,Simmons,McGuirk,Toner,Eckstut,,,
Azeem,7,1,Azeem,Bullister,Mallon,McGovern,Zondervan,Sobrinho-Wheeler,Simmons,Siddiqui,Nolan,Carlone,,,,,
Azeem,7,1,Azeem,Hicks,Sobrinho-Wheeler,Zondervan,Siddiqui,McGovern,Mallon,Nolan,Carlone,Moree,Bullister,Toner,Skeadas,Williams,Eckstut
Azeem,7,1,Azeem,Sobrinho-Wheeler,Mallon,Siddiqui,McGovern,Simmons,,,,,,,,,
Azeem,7,1,Azeem,Toner,Mallon,McGovern,Simmons,Hicks,McGuirk,Sobrinho-Wheeler,Siddiqui,,,,,,
Azeem,7,1,Azeem,Mallon,McGovern,Simmons,Siddiqui,,,,,,,,,,
Azeem,7,1,Azeem,Mallon,McGovern,Toner,Simmons,Siddiqui,,,,,,,,,
Azeem,7,1,Azeem,Bullister,Siddiqui,McGovern,Simmons,Sobrinho-Wheeler,Carlone,Mallon,Zondervan,Skeadas,McGuirk,Hicks,Williams,Nolan,
Azeem,7,1,Azeem,Skeadas,Moree,McGuirk,Levy,Toner,Williams,Bullister,Carlone,Eckstut,Hicks,Siddiqui,Simmons,Pierre,Nolan
Azeem,7,1,Azeem,Skeadas,Simmons,Toner,McGuirk,McGovern,,,,,,,,,
Azeem,7,1,Azeem,Mallon,Siddiqui,,,,,,,,,,,,
Azeem,7,1,Azeem,Levy,Siddiqui,,,,,,,,,,,,
Azeem,7,1,Azeem,McGovern,Mallon,Sobrinho-Wheeler,Siddiqui,Simmons,Hicks,McGuirk,Toner,,,,,,
Azeem,7,1,Azeem,Mallon,McGovern,Simmons,Siddiqui,,,,,,,,,,
Azeem,7,1,Azeem,Skeadas,Bullister,Zondervan,Williams,Pierre,Siddiqui,Nolan,Sobrinho-Wheeler,,,,,,
Azeem,7,1,Azeem,Mallon,McGuirk,Sobrinho-Wheeler,Zondervan,Siddiqui,McGovern,Hicks,Levy,Skeadas,Carlone,,,,
Azeem,7,1,Azeem,Mallon,Hicks,Sobrinho-Wheeler,Siddiqui,McGovern,,,,,,,,,
Azeem,7,1,Azeem,Sobrinho-Wheeler,McGuirk,McGovern,Mallon,Siddiqui,Simmons,Toner,Hicks,,,,,,
Azeem,7,1,Azeem,Siddiqui,Skeadas,Toner,Williams,,,,,,,,,,
Azeem,7,1,Azeem,Skeadas,Simmons,Toner,McGuirk,McGovern,,,,,,,,,
Azeem,7,1,Azeem,McGuirk,Mallon,McGovern,Siddiqui,,,,,,,,,,
Azeem,7,1,Azeem,Mallon,McGovern,Siddiqui,Simmons,Sobrinho-Wheeler,Pierre,,,,,,,,
Azeem,7,1,Azeem,Siddiqui,McGovern,Levy,Hicks,,,,,,,,,,
Azeem,7,1,Azeem,Sobrinho-Wheeler,McGuirk,McGovern,Simmons,Siddiqui,Zondervan,Mallon,Skeadas,,,,,,
Azeem,7,1,Azeem,Eckstut,Sobrinho-Wheeler,Siddiqui,Bullister,,,,,,,,,,
Azeem,7,1,Azeem,,,,,,,,,,,,,,
Azeem,7,1,Azeem,Siddiqui,Hicks,Simmons,Sobrinho-Wheeler,Mallon,McGuirk,Toner,Carlone,McGovern,McGuirk,Eckstut,Levy,Nolan,Zondervan
Azeem,7,1,Azeem,Sobrinho-Wheeler,McGovern,,,,,,,,,,,,
Azeem,7,1,Azeem,Mallon,McGovern,Siddiqui,McGuirk,Simmons,Sobrinho-Wheeler,Hicks,Toner,,,,,,
Azeem,7,1,Azeem,McGuirk,Siddiqui,McGovern,Mallon,Simmons,Nolan,Hicks,Toner,Sobrinho-Wheeler,,,,,
Azeem,7,1,Azeem,Sobrinho-Wheeler,Bullister,Mallon,Siddiqui,McGovern,Simmons,,,,,,,,
Azeem,7,1,Azeem,,,,,,,,,,,,,,
Azeem,7,1,Azeem,Sobrinho-Wheeler,Mallon,McGovern,Zondervan,Siddiqui,Hicks,Skeadas,,,,,,,
Azeem,7,1,Azeem,Nolan,Hicks,Williams,Simmons,McGovern,Siddiqui,Sobrinho-Wheeler,Skeadas,Zondervan,,,,,
Azeem,7,1,Azeem,Sobrinho-Wheeler,Zondervan,Siddiqui,Pierre,Nolan,McGuirk,Williams,Skeadas,Mallon,,,,,
Azeem,7,1,Azeem,Bullister,Siddiqui,Nolan,Simmons,Skeadas,,,,,,,,,
Azeem,7,1,Azeem,McGuirk,Mallon,McGovern,Siddiqui,Simmons,Hicks,Sobrinho-Wheeler,Toner,Nolan,Bullister,Eckstut,Williams,Carlone,Zondervan
Azeem,7,1,Azeem,Hicks,Mallon,McGovern,McGuirk,Siddiqui,Sobrinho-Wheeler,Simmons,Toner,,,,,,
Azeem,7,1,Azeem,Siddiqui,Hicks,Mallon,McGovern,Bullister,Nolan,Carlone,Sobrinho-Wheeler,Eckstut,Williams,Skeadas,,,
Azeem,7,1,Azeem,Carlone,Nolan,Sobrinho-Wheeler,,,,,,,,,,,
Azeem,7,1,Azeem,Siddiqui,Hicks,Mallon,McGovern,Bullister,Nolan,Carlone,Sobrinho-Wheeler,Eckstut,Williams,Skeadas,,,
Azeem,7,1,Azeem,McGovern,Nolan,,,,,,,,,,,,
Azeem,7,1,Azeem,Hicks,McGuirk,Simmons,Sobrinho-Wheeler,Mallon,McGovern,Siddiqui,Toner,,,,,,
Azeem,7,1,Azeem,Bullister,Nolan,Siddiqui,Skeadas,Simmons,Williams,Carlone,Mallon,McGovern,Moree,Zondervan,Toner,Sobrinho-Wheeler,Pierre
Azeem,7,1,Azeem,McGovern,Nolan,McGuirk,Toner,Simmons,Eckstut,Mallon,,,,,,,
Azeem,3,3,Azeem,Sobrinho-Wheeler,Siddiqui,Bullister,Mallon,Levy,Nolan,Williams,McGovern,Zondervan,Skeadas,Simmons,McGuirk,Pierre,Moree
Azeem,3,3,Azeem,McGovern,Mallon,Bullister,Sobrinho-Wheeler,Siddiqui,Eckstut,McGuirk,Hicks,Toner,Simmons,,,,
Azeem,3,3,Azeem,Sobrinho-Wheeler,McGuirk,Mallon,McGovern,Simmons,Siddiqui,Toner,Hicks,,,,,,
Azeem,3,3,Azeem,Sobrinho-Wheeler,Bullister,Siddiqui,Mallon,Hicks,McGovern,Toner,McGuirk,Simmons,,,,,
Azeem,3,3,Azeem,Zondervan,Skeadas,Sobrinho-Wheeler,Nolan,Siddiqui,Williams,Hicks,Mallon,Simmons,Carlone,McGuirk,Toner,Bullister,McGovern
Azeem,3,3,Azeem,Mallon,Siddiqui,Sobrinho-Wheeler,Skeadas,Williams,,,,,,,,,
Azeem,3,3,Azeem,,,,,,,,,,,,,,
Azeem,3,3,Azeem,Williams,Sobrinho-Wheeler,Zondervan,Skeadas,Hicks,,,,,,,,,
Azeem,3,3,Azeem,Sobrinho-Wheeler,Skeadas,Siddiqui,McGovern,,,,,,,,,,
Azeem,3,3,Azeem,Hicks,Sobrinho-Wheeler,Mallon,McGovern,Siddiqui,McGuirk,Simmons,Skeadas,Toner,Bullister,,,,
Azeem,3,3,Azeem,Hicks,Levy,McGovern,McGuirk,Siddiqui,Carlone,Sobrinho-Wheeler,Toner,,,,,,
Azeem,3,3,Azeem,Carlone,McGovern,Siddiqui,,,,,,,,,,,
Azeem,3,3,Azeem,McGuirk,Sobrinho-Wheeler,Bullister,Siddiqui,,,,,,,,,,
Azeem,3,3,Azeem,Hicks,Sobrinho-Wheeler,McGovern,Mallon,Siddiqui,Simmons,Skeadas,Zondervan,,,,,,
Azeem,3,3,Azeem,,,,,,,,,,,,,,
Azeem,3,3,Azeem,McGuirk,Mallon,McGovern,Sobrinho-Wheeler,Siddiqui,Simmons,Hicks,Toner,Eckstut,Skeadas,Bullister,,,
